[2018-11-08 18:03:11] main.ERROR: Error: Application is not installed yet.  [] []
[2018-11-08 18:49:29] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://tlawanah-local.com/setup/index.php/install/start","invalidateInfo":{"tags":["CONFIG"],"mode":"matchingTag"}} []
[2018-11-08 18:49:29] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://tlawanah-local.com/setup/index.php/install/start","invalidateInfo":{"tags":["LAYOUT_GENERAL_CACHE_TAG"],"mode":"matchingTag"}} []
[2018-11-08 18:49:29] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://tlawanah-local.com/setup/index.php/install/start","invalidateInfo":{"tags":["BLOCK_HTML"],"mode":"matchingTag"}} []
[2018-11-08 18:49:29] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://tlawanah-local.com/setup/index.php/install/start","invalidateInfo":{"tags":["COLLECTION_DATA"],"mode":"matchingTag"}} []
[2018-11-08 18:49:29] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://tlawanah-local.com/setup/index.php/install/start","invalidateInfo":{"tags":["REFLECTION"],"mode":"matchingTag"}} []
[2018-11-08 18:49:29] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://tlawanah-local.com/setup/index.php/install/start","invalidateInfo":{"tags":["DB_DDL"],"mode":"matchingTag"}} []
[2018-11-08 18:49:29] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://tlawanah-local.com/setup/index.php/install/start","invalidateInfo":{"tags":["EAV"],"mode":"matchingTag"}} []
[2018-11-08 18:49:29] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://tlawanah-local.com/setup/index.php/install/start","invalidateInfo":{"tags":["CUSTOMER_NOTIFICATION"],"mode":"matchingTag"}} []
[2018-11-08 18:49:29] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://tlawanah-local.com/setup/index.php/install/start","invalidateInfo":{"tags":["INTEGRATION"],"mode":"matchingTag"}} []
[2018-11-08 18:49:29] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://tlawanah-local.com/setup/index.php/install/start","invalidateInfo":{"tags":["INTEGRATION_API_CONFIG"],"mode":"matchingTag"}} []
[2018-11-08 18:49:29] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://tlawanah-local.com/setup/index.php/install/start","invalidateInfo":{"tags":["FPC"],"mode":"matchingTag"}} []
[2018-11-08 18:49:29] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://tlawanah-local.com/setup/index.php/install/start","invalidateInfo":{"tags":["WEBSERVICE"],"mode":"matchingTag"}} []
[2018-11-08 18:49:29] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://tlawanah-local.com/setup/index.php/install/start","invalidateInfo":{"tags":["TRANSLATE"],"mode":"matchingTag"}} []
[2018-11-08 18:49:31] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://tlawanah-local.com/setup/index.php/session/prolong","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"}} []
[2018-11-08 18:49:32] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://tlawanah-local.com/setup/index.php/install/progress","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"}} []
[2018-11-08 18:49:33] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://tlawanah-local.com/setup/index.php/session/prolong","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"}} []
[2018-11-08 18:50:39] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://tlawanah-local.com/setup/index.php/install/start","invalidateInfo":{"identifier":"DB_PDO_MYSQL_DDL_design_config_grid_flat_1"}} []
[2018-11-08 18:50:39] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://tlawanah-local.com/setup/index.php/install/start","invalidateInfo":{"identifier":"DB_PDO_MYSQL_DDL_design_config_grid_flat_2"}} []
[2018-11-08 18:50:39] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://tlawanah-local.com/setup/index.php/install/start","invalidateInfo":{"identifier":"DB_PDO_MYSQL_DDL_design_config_grid_flat_3"}} []
[2018-11-08 18:50:39] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://tlawanah-local.com/setup/index.php/install/start","invalidateInfo":{"identifier":"DB_PDO_MYSQL_DDL_design_config_grid_flat_4"}} []
[2018-11-08 18:50:40] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://tlawanah-local.com/setup/index.php/install/start","invalidateInfo":{"tags":["cms_p"],"mode":"matchingAnyTag"}} []
[2018-11-08 18:50:40] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://tlawanah-local.com/setup/index.php/install/start","invalidateInfo":{"tags":["cms_p_1","FPC"],"mode":"matchingTag"}} []
[2018-11-08 18:50:40] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://tlawanah-local.com/setup/index.php/install/start","invalidateInfo":{"tags":["cms_p_1","FPC"],"mode":"matchingTag"}} []
[2018-11-08 18:50:40] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://tlawanah-local.com/setup/index.php/install/start","invalidateInfo":{"tags":["cms_p"],"mode":"matchingAnyTag"}} []
[2018-11-08 18:50:40] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://tlawanah-local.com/setup/index.php/install/start","invalidateInfo":{"tags":["cms_p_2","FPC"],"mode":"matchingTag"}} []
[2018-11-08 18:50:40] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://tlawanah-local.com/setup/index.php/install/start","invalidateInfo":{"tags":["cms_p_2","FPC"],"mode":"matchingTag"}} []
[2018-11-08 18:50:40] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://tlawanah-local.com/setup/index.php/install/start","invalidateInfo":{"tags":["cms_p"],"mode":"matchingAnyTag"}} []
[2018-11-08 18:50:40] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://tlawanah-local.com/setup/index.php/install/start","invalidateInfo":{"tags":["cms_p_3","FPC"],"mode":"matchingTag"}} []
[2018-11-08 18:50:40] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://tlawanah-local.com/setup/index.php/install/start","invalidateInfo":{"tags":["cms_p_3","FPC"],"mode":"matchingTag"}} []
[2018-11-08 18:50:41] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://tlawanah-local.com/setup/index.php/install/start","invalidateInfo":{"tags":["cms_p"],"mode":"matchingAnyTag"}} []
